label,text,label description
1,lvz.de Besserer S-Bahn-Takt – Züge pendeln öfter zwischen Leipzig und Halle +++ NEWS +++ http://www.lvz.de/Leipzig/Lokales/Zuege- pendeln-oefter-zwischen-Leipzig-und-Halle S- Bahn-Reisende zwischen Leipzig und Halle können ein wenig aufatmen. Zumindest temporär. Denn die Deutsche Bahn wird acht Wochen lang die Verbindung zwische...,The text has positive sentiment.
1,Hast wohl gutes WLAN in der Bahn.,The text has positive sentiment.
1,+++ Bahn-Streik im Live-Ticker +++: Überraschende Wende! Lokführer beenden den Bahnstreik http://t.co/RQVhIOmvMW via,The text has positive sentiment.
1,"rbb Mediathek: Charité-Streik ausgesetzt, Konflikt von Bahn und GDL beendet Charité-Streik ausgesetzt, Konflikt von Bahn und GDL beendet Mi 01.07.15 19:30 02:20 min verfügbar bis 09.07.15 Der Streik der Pflegekräfte an der Berliner Charité wird ausgesetzt. Verdi und die Charité habe sich auf ein Eckpunktepapier als",The text has positive sentiment.
1,"""next stop: muenster."" danke an die  fuer 15 stunden problemloses zugfahren quer durchs land!",The text has positive sentiment.
1,"Verkehrsausschuss-Vorsitzender begrüßt Schlichtung bei der Bahn Verkehrsausschuss-Vorsitzender begrüßt Schlichtung bei der Bahn 21.05.2015, 10:24 Uhr BERLIN (dpa-AFX) - Der Vorsitzende des Verkehrsausschusses im Bundestag, Martin Burkert, hat sich erleichtert über das angekündigte Streikende bei der Deutschen Ba",The text has positive sentiment.
1,"Bahn-Chef Grube verspricht weniger Chaos am Bahnsteig Bahn-Chef Grube verspricht weniger Chaos am Bahnsteig Im Zuge ihrer Service-Offensive will die Deutsche Bahn weitere Ärgernisse für ihre Kunden abstellen. Die Ansage etwa, dass ein Zug…",The text has positive sentiment.
1,"In der ICE-Toilette sind jetzt Blumen im Fenster! Danke,  ! https://t.co/nqc31ZsIrv",The text has positive sentiment.
0,"Gepl. Abfahrt war 19:19 ab HB Hbf im ICE. ICE fällt aus. Alternativen brauchen länger, weniger Komfort, kosten das gleiche. #Traum",The text has positive sentiment.
0,Das Landesticket für Bus und #Bahn im Südwesten kommt erst mit Verspätung. https://t.co/vgb25ZNZLc https://t.co/GEDMrpLiQv,The text has positive sentiment.
0,69 Danke. Fake oder Echt: Unverschämtheit ist untertrieben. Asozial ist die treffende Vokabel.  //,The text has positive sentiment.
0,"Juhu! Die eine Bahn 80 Minuten später, die andere darf drauf warten. Ein guter Morgen...Köln, irgendwann bin ich auch mal da.",The text has positive sentiment.
0,"[S- Bahn M] S 3 #Maisach / #Deisenhofen: #Zugausfälle zwischen #Maisach und #Deisenhofen (Stand 04.09.2015, +++ http://t.co/nPiZntYhxb",The text has positive sentiment.
0,"Verkehr : Oberleitungsschaden bringt ... der Strecke mit den Zielen Bochum, Essen oder Mülheim mussten auf Regionalzüge umsteigen und deren Verspätungen in Kauf nehmen. Möglicherweise müsse für die Reparatur der Bahnhof Mülheim im Tagesverlauf für etwa eine Stunde für Züge gesperrt werden, sagte ein Bahnsprecher am Mittag.",The text has positive sentiment.
0,"Man kann das Leben in vollen Zügen genießen. Am einfachsten geht das mit DB Fernverkehr. ICE einteilig, gerammelt voll Alltag halt",The text has positive sentiment.
0,Re: stuttgarter-nachrichten.de & warum ist der Takt gestört? Weil die S-Bahn Stuttgart einen Fahrgast ärztlich versorgt hat. Aber die Bahn ist schuld..,The text has positive sentiment.
